"","sex","age","suicides.100k.pop"
"253","male","55-74 years",8.27
"254","male","35-54 years",5.38
"255","male","25-34 years",5.01
"256","male","75+ years",3.94
"257","male","15-24 years",3.58
"258","female","25-34 years",3.27
"259","female","75+ years",3.1
"260","female","35-54 years",3.04
"261","female","55-74 years",2.9
"262","female","15-24 years",2.28
"263","female","5-14 years",0.89
"264","male","5-14 years",0
"889","male","75+ years",31.35
"890","male","15-24 years",19.77
"891","male","25-34 years",14.98
"892","male","55-74 years",14.49
"893","male","35-54 years",12.33
"894","female","15-24 years",4.47
"895","female","35-54 years",3.37
"896","female","25-34 years",3.15
"897","female","55-74 years",3.08
"898","female","75+ years",2.75
"899","male","5-14 years",0.92
"900","female","5-14 years",0.58
"1177","male","75+ years",11.47
"1178","male","55-74 years",6.73
"1179","male","25-34 years",4.93
"1180","male","35-54 years",4.33
"1181","male","15-24 years",3.17
"1182","female","55-74 years",2.76
"1183","female","75+ years",2.45
"1184","female","5-14 years",1.2
"1185","female","35-54 years",1.17
"1186","male","5-14 years",1.04
"1187","female","15-24 years",0.74
"1188","female","25-34 years",0.42
"1403","male","35-54 years",25.74
"1404","male","55-74 years",23.09
"1405","female","55-74 years",9.82
"1406","female","15-24 years",0
"1407","female","25-34 years",0
"1408","female","35-54 years",0
"1409","female","5-14 years",0
"1410","female","75+ years",0
"1411","male","15-24 years",0
"1412","male","25-34 years",0
"1413","male","5-14 years",0
"1414","male","75+ years",0
"1715","male","35-54 years",26.52
"1716","male","75+ years",25.94
"1717","male","25-34 years",19.36
"1718","male","55-74 years",17.55
"1719","male","15-24 years",13.71
"1720","female","35-54 years",7.28
"1721","female","25-34 years",5.95
"1722","female","75+ years",5.34
"1723","female","15-24 years",5.26
"1724","female","55-74 years",4.94
"1725","male","5-14 years",0.49
"1726","female","5-14 years",0.3
"2087","male","75+ years",74.87
"2088","male","55-74 years",34.24
"2089","male","35-54 years",25.07
"2090","male","15-24 years",17.55
"2091","male","25-34 years",15.65
"2092","female","75+ years",14.38
"2093","female","55-74 years",9.75
"2094","female","35-54 years",7.9
"2095","female","25-34 years",4.64
"2096","female","15-24 years",2.8
"2097","male","5-14 years",0.46
"2098","female","5-14 years",0.24
"2589","male","75+ years",32.36
"2590","female","15-24 years",6.29
"2591","male","35-54 years",5.96
"2592","male","55-74 years",4.72
"2593","female","55-74 years",3.98
"2594","male","15-24 years",3.13
"2595","female","35-54 years",1.88
"2596","female","25-34 years",0
"2597","female","5-14 years",0
"2598","female","75+ years",0
"2599","male","25-34 years",0
"2600","male","5-14 years",0
"2829","male","35-54 years",3.17
"2830","male","25-34 years",2.55
"2831","male","55-74 years",2.38
"2832","female","35-54 years",1.59
"2833","female","15-24 years",1.24
"2834","female","25-34 years",0.96
"2835","female","5-14 years",0
"2836","female","55-74 years",0
"2837","female","75+ years",0
"2838","male","15-24 years",0
"2839","male","5-14 years",0
"2840","male","75+ years",0
"3141","male","35-54 years",7.62
"3142","female","15-24 years",0
"3143","female","25-34 years",0
"3144","female","35-54 years",0
"3145","female","5-14 years",0
"3146","female","55-74 years",0
"3147","female","75+ years",0
"3148","male","15-24 years",0
"3149","male","25-34 years",0
"3150","male","5-14 years",0
"3151","male","55-74 years",0
"3152","male","75+ years",0
"3393","male","75+ years",72.34
"3394","male","35-54 years",64.19
"3395","male","55-74 years",61.52
"3396","male","25-34 years",52.77
"3397","male","15-24 years",33.91
"3398","female","75+ years",14.34
"3399","female","35-54 years",9.78
"3400","female","25-34 years",8.39
"3401","female","55-74 years",7.6
"3402","female","15-24 years",5.83
"3403","male","5-14 years",1.08
"3404","female","5-14 years",0.23
"3741","male","75+ years",51.69
"3742","male","35-54 years",39.45
"3743","male","55-74 years",32.82
"3744","male","25-34 years",26.42
"3745","female","35-54 years",15.7
"3746","female","55-74 years",14.96
"3747","male","15-24 years",14.77
"3748","female","75+ years",10.74
"3749","female","25-34 years",7.21
"3750","female","15-24 years",4.94
"3751","male","5-14 years",1.14
"3752","female","5-14 years",0.34
"4077","male","55-74 years",17.31
"4078","male","25-34 years",16.63
"4079","male","35-54 years",15.27
"4080","male","15-24 years",6.18
"4081","female","35-54 years",6.09
"4082","female","15-24 years",0
"4083","female","25-34 years",0
"4084","female","5-14 years",0
"4085","female","55-74 years",0
"4086","female","75+ years",0
