"","suicides.100k.pop","sexfemale","sexmale","age15.24.years","age25.34.years","age35.54.years","age5.14.years","age55.74.years","age75..years"
"253",8.27,0,1,0,0,0,0,1,0
"254",5.38,0,1,0,0,1,0,0,0
"255",5.01,0,1,0,1,0,0,0,0
"256",3.94,0,1,0,0,0,0,0,1
"257",3.58,0,1,1,0,0,0,0,0
"258",3.27,1,0,0,1,0,0,0,0
"259",3.1,1,0,0,0,0,0,0,1
"260",3.04,1,0,0,0,1,0,0,0
"261",2.9,1,0,0,0,0,0,1,0
"262",2.28,1,0,1,0,0,0,0,0
"263",0.89,1,0,0,0,0,1,0,0
"264",0,0,1,0,0,0,1,0,0
"889",31.35,0,1,0,0,0,0,0,1
"890",19.77,0,1,1,0,0,0,0,0
"891",14.98,0,1,0,1,0,0,0,0
"892",14.49,0,1,0,0,0,0,1,0
"893",12.33,0,1,0,0,1,0,0,0
"894",4.47,1,0,1,0,0,0,0,0
"895",3.37,1,0,0,0,1,0,0,0
"896",3.15,1,0,0,1,0,0,0,0
"897",3.08,1,0,0,0,0,0,1,0
"898",2.75,1,0,0,0,0,0,0,1
"899",0.92,0,1,0,0,0,1,0,0
"900",0.58,1,0,0,0,0,1,0,0
"1177",11.47,0,1,0,0,0,0,0,1
"1178",6.73,0,1,0,0,0,0,1,0
"1179",4.93,0,1,0,1,0,0,0,0
"1180",4.33,0,1,0,0,1,0,0,0
"1181",3.17,0,1,1,0,0,0,0,0
"1182",2.76,1,0,0,0,0,0,1,0
"1183",2.45,1,0,0,0,0,0,0,1
"1184",1.2,1,0,0,0,0,1,0,0
"1185",1.17,1,0,0,0,1,0,0,0
"1186",1.04,0,1,0,0,0,1,0,0
"1187",0.74,1,0,1,0,0,0,0,0
"1188",0.42,1,0,0,1,0,0,0,0
"1403",25.74,0,1,0,0,1,0,0,0
"1404",23.09,0,1,0,0,0,0,1,0
"1405",9.82,1,0,0,0,0,0,1,0
"1406",0,1,0,1,0,0,0,0,0
"1407",0,1,0,0,1,0,0,0,0
"1408",0,1,0,0,0,1,0,0,0
"1409",0,1,0,0,0,0,1,0,0
"1410",0,1,0,0,0,0,0,0,1
"1411",0,0,1,1,0,0,0,0,0
"1412",0,0,1,0,1,0,0,0,0
"1413",0,0,1,0,0,0,1,0,0
"1414",0,0,1,0,0,0,0,0,1
"1715",26.52,0,1,0,0,1,0,0,0
"1716",25.94,0,1,0,0,0,0,0,1
"1717",19.36,0,1,0,1,0,0,0,0
